des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h
2023 GC2,2,2460404.519053993,2024-Apr-04 00:27,0.0220623486019511,0.0220580089190611,0.0220666882813309,5.66268695587195,5.64131923394134,< 00:01,27.33
2020 FW5,11,2460404.968901590,2024-Apr-04 11:15,0.0781760367686233,0.0781755964665788,0.0781764770707655,11.8851168712416,11.8822488150583,< 00:01,25.72
2021 FD1,5,2460405.030976507,2024-Apr-04 12:45,0.00599869273730605,0.00599856341807391,0.00599882205654602,8.84828232438542,8.79793991573006,< 00:01,26.62
2024 HC,18,2460405.173267438,2024-Apr-04 16:10,0.0193758355871677,0.0193615608832562,0.0193901083706714,1.60235507308373,1.51410389771542,00:02,27.43
2024 GH1,1,2460405.411628271,2024-Apr-04 21:53,0.00863064383192031,0.00860804562698492,0.00865324171909859,8.89926131212806,8.86450256081594,00:03,28.23
2024 HQ2,1,2460405.455934467,2024-Apr-04 22:57,0.0967750790519084,0.0928622610620925,0.100687849364081,16.8180994476795,16.8164622804434,03:40,23.15
674942,126,2460405.747948016,2024-Apr-05 05:57,0.0970198307157218,0.0970197057782863,0.0970199556531573,15.216005969537,15.2142009706677,< 00:01,19.72
2024 GM5,4,2460405.818293466,2024-Apr-05 07:38,0.0121148290622524,0.0120749442665271,0.0121547092128128,4.98087241746709,4.93651894672038,< 00:01,27.81
2023 TV9,3,2460405.856062257,2024-Apr-05 08:33,0.095158224409784,0.0949821935679157,0.0953561622395778,8.14510009588633,8.14166165724143,05:18,24.72
2024 FD4,5,2460406.039433943,2024-Apr-05 12:57,0.0144024018538934,0.014373596991308,0.0144312044927002,4.114402822418,4.06918981192745,< 00:01,27.36
2024 GO,1,2460406.212929251,2024-Apr-05 17:07,0.00558476979030466,0.00554826518864199,0.00562127386547374,29.4593354344741,29.4431358617295,< 00:01,26.58
2024 GN1,2,2460406.299260076,2024-Apr-05 19:11,0.0263667131867526,0.0262209962994284,0.0265124281664672,13.0791876410274,13.0714589859544,< 00:01,26.29
2024 GF,5,2460406.338793944,2024-Apr-05 20:08,0.0114253041053707,0.0114049516092807,0.0114456556954414,6.14707937594051,6.10902345924098,< 00:01,27.06
2024 GA,9,2460406.371233477,2024-Apr-05 20:55,0.0105466219968487,0.0105406999665187,0.0105525436723233,3.16556529267069,3.08472482910919,< 00:01,27.65
2019 FT2,2,2460406.437399945,2024-Apr-05 22:30,0.0909538757810373,0.00172174314908618,0.319031544686626,24.2052446411962,24.2040343426043,8_20:24,26.4
2024 GG,3,2460406.458498484,2024-Apr-05 23:00,0.0385131102064324,0.0383970494490943,0.0386291680395722,5.61793816511881,5.60560985384839,00:06,26.79
2020 VL,18,2460406.535378098,2024-Apr-06 00:51,0.0744255333851138,0.074423971353616,0.0744270954163239,3.84423791750126,3.83491381266435,< 00:01,25.12
2024 GE5,1,2460406.876785800,2024-Apr-06 09:03,0.0532726722279812,0.0527688906301012,0.0537764829896487,7.47365640117913,7.46696111226116,00:51,26.24
2024 GP1,12,2460407.518518635,2024-Apr-07 00:27,0.0827065170866091,0.0826331898140066,0.0827798442880289,10.7452742014663,10.7422756208898,< 00:01,22.83
2014 GF1,9,2460407.559611462,2024-Apr-07 01:26,0.0513743033880823,0.0513733738953342,0.0513752328847291,7.84033711683373,7.83371929606573,< 00:01,25.88
2024 GB15,4,2460407.562039759,2024-Apr-07 01:29,0.0438645402210328,0.0438577881234612,0.04387129960232,0.447397001430957,0.280494860753887,00:01,26.94
2024 FG,5,2460407.773332040,2024-Apr-07 06:34,0.0316333147881354,0.0316098464849384,0.031656783030823,9.80232125418617,9.7937246050409,< 00:01,24.06
2024 GJ1,3,2460407.810612471,2024-Apr-07 07:27,0.0349904224885435,0.0347142864830566,0.0352665532504492,11.1925614364546,11.1857558471219,< 00:01,25.84
2024 GE2,4,2460407.933478605,2024-Apr-07 10:24,0.0113926061284602,0.0113613253971743,0.0114238832242859,4.6972497224195,4.64719259981216,< 00:01,27.97
2024 FH2,7,2460408.271931732,2024-Apr-07 18:32,0.0410357346192685,0.0408088168580675,0.0412626515415948,19.6681678773953,19.6648662908154,< 00:01,22.33
2024 GB,10,2460408.475638682,2024-Apr-07 23:25,0.035176388597692,0.0351011309417087,0.035251645646403,8.9673272722166,8.95887637584394,< 00:01,24.25
2024 GS3,5,2460408.555441149,2024-Apr-08 01:20,0.0264659893544376,0.0263998508854494,0.0265321271913223,10.2895227911258,10.2797338521281,< 00:01,25.34
2024 ED6,5,2460408.865727561,2024-Apr-08 08:47,0.0139932812616652,0.0139911194107902,0.0139954431071767,6.7032338915016,6.6747675568644,< 00:01,24.19
2024 GB4,5,2460408.873286458,2024-Apr-08 08:58,0.0108050916018527,0.0107703736654808,0.0108398078890541,8.15660106488582,8.12631228440185,< 00:01,25.83
2024 GQ,4,2460409.026561675,2024-Apr-08 12:38,0.0143800539169743,0.0143493377931072,0.014410769549524,9.93933795525543,9.9206783592303,< 00:01,27.24
2005 FG,28,2460409.043270372,2024-Apr-08 13:02,0.0471390240647356,0.0471388478770888,0.0471392002523852,5.54384374798764,5.53363856726075,< 00:01,24.06
2024 CO10,19,2460409.147794082,2024-Apr-08 15:33,0.0600514479104583,0.0600497743284755,0.0600531214931477,3.83758514742967,3.82600573407801,< 00:01,24.03
2024 FG1,16,2460409.286946998,2024-Apr-08 18:53,0.0565871251764055,0.0565778467055926,0.0565964036438056,8.93763134566034,8.9323614702991,< 00:01,23.37
2024 FG4,4,2460409.415110008,2024-Apr-08 21:58,0.0649106843599963,0.0647548196421564,0.0650665482656274,8.32844329501751,8.32351313632518,< 00:01,25.24
679656,74,2460409.605549204,2024-Apr-09 02:32,0.0388614808367862,0.0388613791934898,0.0388615824800913,6.80395304151571,6.79386855782655,< 00:01,21.07
2024 HU,8,2460409.619785500,2024-Apr-09 02:52,0.0761222475547917,0.0760393513272258,0.0762051437538943,19.100680684944,19.0988480635819,< 00:01,23.80
2024 GW4,1,2460409.671276582,2024-Apr-09 04:07,0.00109169992662204,0.00108923400579311,0.00109416544486276,12.1152656577102,11.912108201893,00:03,28.93
