des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,diameter,diameter_sigma,fullname
2023 DN,7,2459993.755794527,2023-Feb-18 06:08,0.00663767612058342,0.00663214088895247,0.0066432111621714,6.21070419537922,6.14573116946439,< 00:01,26.15,,,       (2023 DN)
2023 CS2,3,2459993.833837190,2023-Feb-18 08:01,0.010989404993577,0.0109544642193995,0.0110243439246686,7.6307577034793,7.59891737526583,< 00:01,28.05,,,       (2023 CS2)
2023 DH,5,2459993.857516123,2023-Feb-18 08:35,0.0168903123291614,0.0168529216961075,0.0169277008191386,4.94994731175252,4.91797463725577,< 00:01,27.47,,,       (2023 DH)
2023 DQ1,3,2459993.865528418,2023-Feb-18 08:46,0.0271308389476603,0.0267372517134083,0.0275244128567614,12.6562484831831,12.6484864170743,00:13,26.01,,,       (2023 DQ1)
2023 CE2,2,2459993.905498556,2023-Feb-18 09:44,0.0349272904775914,0.0344054353047809,0.035449136618382,16.1202765370051,16.1155435127109,< 00:01,25.51,,,       (2023 CE2)
2023 CH1,5,2459994.119120740,2023-Feb-18 14:52,0.0193286838669611,0.0192486538964379,0.0194087106166545,7.54531160892318,7.52701967439,< 00:01,26.65,,,       (2023 CH1)
2023 CW,4,2459994.173335341,2023-Feb-18 16:10,0.0170455800985342,0.0169300060207919,0.0171611457263635,7.61331611812709,7.5927565728764,< 00:01,25.76,,,       (2023 CW)
2020 DG4,9,2459994.309361306,2023-Feb-18 19:25,0.00416583005113647,0.00416577022758985,0.00416588987472381,7.06644109269506,6.97534105153138,< 00:01,28.15,,,       (2020 DG4)
2023 DO,6,2459994.468021139,2023-Feb-18 23:14,0.0398628970888884,0.0397910039612997,0.0399347893289002,6.25591620182813,6.24522260227889,< 00:01,25.60,,,       (2023 DO)
2020 CX1,35,2459994.870582989,2023-Feb-19 08:54,0.0444180377614109,0.0444179558940044,0.0444181196288225,7.73026741826543,7.72250357758197,< 00:01,24.13,,,       (2020 CX1)
2023 DC,6,2459995.825532903,2023-Feb-20 07:49,0.0220694251798277,0.0220026343379399,0.0221362144108464,7.80063230564816,7.78513975193868,< 00:01,27.17,,,       (2023 DC)
